cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	Concepticon_Gloss	Concepticon_ID	concept_url	list_type
the Sigule-Salang list	1	bangkaj	NA	lichaam	body	badan, tubuh	4	4	1	FALSE									BODY	1480	https://concepticon.clld.org/parameters/1480	NBL
the Sigule-Salang list	2	d(o)ekoe (oeleè)	NA	hoofd	head	kepala	5	5	2	TRUE									HEAD	1256	https://concepticon.clld.org/parameters/1256	NBL
the Sigule-Salang list	3	moeka	NA	gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE									FACE	1560	https://concepticon.clld.org/parameters/1560	NBL
the Sigule-Salang list	4	mata	NA	voorhoofd	forehead	dahi	24	25	4	FALSE							<eukeu?>		FOREHEAD	123	https://concepticon.clld.org/parameters/123	NBL
the Sigule-Salang list	6	boe doehoe	NA	hoofdhaar	hair	rambut	72	73	6	TRUE									HAIR	1040	https://concepticon.clld.org/parameters/1040	NBL
the Sigule-Salang list	7	tepa	NA	knal	bald	gundul, botak	-	-	7	FALSE									BALD	1125	https://concepticon.clld.org/parameters/1125	NBL
the Sigule-Salang list	8	tindai	NA	kruin (v.h.hoofd)	crown	hulu kepala	7	7	8	FALSE									CROWN (OF HEAD)	1943	https://concepticon.clld.org/parameters/1943	NBL
the Sigule-Salang list	9	koekoejoe	NA	oor	ear	telinga	8	8	9	TRUE									EAR	1247	https://concepticon.clld.org/parameters/1247	NBL
the Sigule-Salang list	11	mata	NA	oog	eye	mata	9	9	11	TRUE									EYE	1248	https://concepticon.clld.org/parameters/1248	NBL
the Sigule-Salang list	13	boe mata	NA	oogharen, winpers	eyelashes	bulu mata	-	-	13	FALSE									EYELASH	1540	https://concepticon.clld.org/parameters/1540	NBL
the Sigule-Salang list	15	boe sunget	NA	wenkbrauw	eyebrow	alis (tunggal)	25	26	-	FALSE									EYEBROW	1173	https://concepticon.clld.org/parameters/1173	NBL
the Sigule-Salang list	17	mangélé elo mata	NA	traan	tear	air mata (tunggal)	10	10	-	FALSE									TEAR (OF EYE)	1651	https://concepticon.clld.org/parameters/1651	NBL
the Sigule-Salang list	18	nichoe	NA	neus	nose	hidung	11	11	16	TRUE									NOSE	1221	https://concepticon.clld.org/parameters/1221	NBL
the Sigule-Salang list	20	bèngó	NA	snot	mucus	ingus	-	12	18	FALSE									NASAL MUCUS (SNOT)	208	https://concepticon.clld.org/parameters/208	NBL
the Sigule-Salang list	21	kāsàng	NA	wang	cheek	pipi	23	24	19	FALSE									CHEEK	1730	https://concepticon.clld.org/parameters/1730	NBL
the Sigule-Salang list	21	gasang	NA	wang	cheek	pipi	23	24	19	FALSE									CHEEK	1730	https://concepticon.clld.org/parameters/1730	NBL
the Sigule-Salang list	22	bàfaˈ	NA	mond	mouth	mulut	12	13	-	TRUE									MOUTH	674	https://concepticon.clld.org/parameters/674	NBL
the Sigule-Salang list	25	bivi	NA	lippen	lips	bibir (jamak)	13	14	-	FALSE									LIP	478	https://concepticon.clld.org/parameters/478	NBL
the Sigule-Salang list	26	béfé	NA	lip	lip	bibir	-	-	22	FALSE									LIP	478	https://concepticon.clld.org/parameters/478	NBL
the Sigule-Salang list	27	choemi	NA	knevel	moustache	kumis	21	22	23	FALSE									MOUSTACHE	1165	https://concepticon.clld.org/parameters/1165	NBL
the Sigule-Salang list	28	djangkoewi	NA	sik	goatee	janggut seperti, janggut kambing	22	23	-	FALSE									BEARD	678	https://concepticon.clld.org/parameters/678	NBL
the Sigule-Salang list	29	imbi	NA	kin	chin	dagu	19	20	24	FALSE									CHIN	1510	https://concepticon.clld.org/parameters/1510	NBL
the Sigule-Salang list	30	djangowi	NA	baard	beard	janggut	20	21	25	FALSE									BEARD	678	https://concepticon.clld.org/parameters/678	NBL
the Sigule-Salang list	30	djambé	NA	baard	beard	janggut	20	21	25	FALSE									BEARD	678	https://concepticon.clld.org/parameters/678	NBL
the Sigule-Salang list	31	nila	NA	tong	tongue	lidah	15	16	26	TRUE									TONGUE	1205	https://concepticon.clld.org/parameters/1205	NBL
the Sigule-Salang list	31	leulaˈ	NA	tong	tongue	lidah	15	16	26	TRUE									TONGUE	1205	https://concepticon.clld.org/parameters/1205	NBL
the Sigule-Salang list	32	langi²	NA	verhemelte	palate	langit-langit	16	17	27	FALSE									PALATE	540	https://concepticon.clld.org/parameters/540	NBL
the Sigule-Salang list	33	nifĕu	1	tand	tooth	gigi	17	18	28	TRUE			deuhoe nifĕu	tooth powder					TOOTH	1380	https://concepticon.clld.org/parameters/1380	NBL
the Sigule-Salang list	34	boa	NA	kies	molar	geraham	18	19	29	FALSE									MOLAR TOOTH	1049	https://concepticon.clld.org/parameters/1049	NBL
the Sigule-Salang list	36	naetōˈ	NA	hersenen	brains	otak	-	-	31	FALSE									BRAIN	1583	https://concepticon.clld.org/parameters/1583	NBL
the Sigule-Salang list	37	alekoem	NA	keel	throat	kerongkongan	14	15	32	FALSE									THROAT	1346	https://concepticon.clld.org/parameters/1346	NBL
the Sigule-Salang list	38	nòkae	NA	hals	neck	leher	27	28	33	TRUE									NECK	1333	https://concepticon.clld.org/parameters/1333	NBL
the Sigule-Salang list	41/42	tòtòˈ	NA	borsten < unsp. >	chest, breast (male) [ID_41]; breasts (female) [ID_42]	dada (laki-laki, jamak) [ID_41]; dada (perempuan, jamak) [ID_42]	34	36	-	TRUE									BREAST	1402	https://concepticon.clld.org/parameters/1402	NBL
the Sigule-Salang list	41/42	dòtòˈ	NA	borsten < unsp. >	chest, breast (male) [ID_41]; breasts (female) [ID_42]	dada (laki-laki, jamak) [ID_41]; dada (perempuan, jamak) [ID_42]	34	36	-	TRUE									BREAST	1402	https://concepticon.clld.org/parameters/1402	NBL
the Sigule-Salang list	43	naleu	NA	borst	breast	dada (tunggal)	-	-	36	TRUE									BREAST	1402	https://concepticon.clld.org/parameters/1402	NBL
